Data,Quantidade,Total,Media
2020-11-07,11089,"2333,89","210,47"
2022-10-21,77559991,"35732009,5","460,7"
2021-10-19,30354077,"18611920,29","613,16"
2021-01-29,8760453,"8542141,3","975,08"
2021-07-30,32906974,23362508,"709,96"
2021-12-17,46205805,"27561258,56","596,49"
2020-11-13,675142,"334582,87","495,57"
2022-05-24,48448568,"25899839,97","534,58"
2022-04-29,58905487,"37993907,45",645
2020-11-15,161228,"49204,61","305,19"
2021-01-23,4377954,"1303385,7","297,72"
2021-11-23,35027294,"19681459,38","561,89"
2022-09-13,64684863,"34331092,4","530,74"
2021-11-26,42057192,"23475800,29","558,19"
2021-10-16,28117016,"6027984,07","214,39"
2022-02-12,37240482,"7130228,55","191,46"
2020-12-19,3821515,"1350547,52","353,41"
2021-07-01,27985785,"19070280,05","681,43"
2023-01-20,89642694,"46191666,28","515,29"
2021-12-10,50307220,"31237079,64","620,93"
2021-06-16,21324705,"13821273,83","648,13"
2022-04-09,48823496,"9926734,39","203,32"
2022-03-05,47142734,"11009552,16","233,54"
2020-12-15,4925857,"5347981,72","1085,7"
2022-07-06,76398122,"40312954,79","527,67"
2021-08-30,28752232,"22840711,06","794,4"
2022-04-01,57877688,"34986856,98","604,5"
2020-12-14,4479740,"4761114,44","1062,81"
2022-01-20,42687488,"25565498,01","598,9"
2023-01-29,45213021,"5641789,38","124,78"
2021-09-26,16060276,"2536782,42","157,95"
2022-09-20,72578132,"40650076,19","560,09"
2021-02-23,9033199,"7514962,51","831,93"
2022-08-07,41505135,"6578085,72","158,49"
2022-08-28,34871507,"4417766,62","126,69"
2022-05-08,33512094,"5670880,95","169,22"
2021-08-27,28170541,"17366603,99","616,48"
2022-10-09,45753063,"7081410,97","154,77"
2022-05-28,48059650,"9049215,59","188,29"
2022-02-17,42089417,"21393442,86","508,29"
2021-07-11,13046696,"2555040,63","195,84"
2021-09-04,28165373,"6733474,4","239,07"
2021-03-24,10769070,"8077549,13","750,07"
2022-05-09,58788873,"36675652,27","623,85"
2022-10-19,68378275,"32197411,56","470,87"
2021-05-14,20487133,"13857734,08","676,41"
2022-02-28,32953335,"9841378,61","298,65"
2022-11-11,82702715,"41380186,64","500,35"
2020-11-08,7049,"1493,58","211,88"
2022-09-05,73396711,"48802926,37","664,92"
2021-10-26,31542128,"18616560,35","590,21"
2022-03-14,44281953,"29190741,73","659,2"
2021-06-11,24780555,"14999058,31","605,28"
2022-04-28,46776835,"26982665,84","576,84"
2022-04-02,44807208,"9339879,22","208,45"
2022-06-29,51988335,"28463260,75","547,49"
2021-04-03,9062830,"2301887,93","253,99"
2021-05-28,22625371,"15474907,49","683,96"
2022-04-16,39135655,"6513227,82","166,43"
2021-07-29,23861477,"15082823,19","632,1"
2021-12-27,35535064,"23374916,66","657,8"
2021-03-01,11347173,"11304643,46","996,25"
2022-03-01,28215805,"6561521,57","232,55"
2021-07-10,21539922,"5101579,16","236,84"
2020-12-31,4109712,"2182091,47","530,96"
2022-02-16,42467290,"22159600,41","521,8"
2022-10-07,93568655,"46914848,17","501,39"
2022-01-27,35903311,"19437366,06","541,38"
2022-06-06,69124456,"45050652,52","651,73"
2021-07-08,28626004,"17490222,09","610,99"
2021-09-21,30428774,"18714939,17","615,04"
2021-03-29,10731951,"9803980,57","913,53"
2022-02-22,42457697,"24748621,1","582,9"
2021-03-28,4830093,"1097370,92","227,19"
2022-06-04,54896072,"11425015,5","208,12"
2023-01-02,66785488,"43578076,83","652,51"
2023-01-15,46720589,"6461537,28","138,3"
2021-04-28,14378972,"10810542,7","751,83"
2021-01-27,6224330,"5538994,24","889,89"
2022-11-12,67753805,"12622494,18","186,3"
2021-05-06,19801453,"14358309,4","725,11"
2020-11-05,16669,"2685,84","161,13"
2021-01-26,6178365,"5979410,41","967,8"
2021-08-20,33783850,"21813279,54","645,67"
2023-01-07,76184450,"15308810,76","200,94"
2022-11-19,67919597,"12578891,55","185,2"
2021-11-01,36483495,"24223822,91","663,97"
2020-11-24,1873269,"1887517,32","1007,61"
2021-05-04,18089788,"13018939,14","719,68"
2021-10-21,33360845,"18333097,03","549,54"
2021-12-01,49293448,"28998496,27","588,28"
2021-02-28,4626212,"1313209,78","283,86"
2021-06-12,17624444,"3916426,32","222,22"
2022-04-25,47246849,"32639971,01","690,84"
2023-01-01,31638899,"4601315,3","145,43"
2022-05-01,30873902,"5378956,28","174,22"
2023-01-10,83932754,"47790860,62","569,39"
2021-01-03,2061213,"668476,07","324,31"
2022-05-19,48678600,"24729227,49","508,01"
2021-07-27,23629791,"14459427,78","611,92"
2022-12-14,79465954,"38415200,72","483,42"
2020-11-28,1934940,"789826,32","408,19"
2022-10-18,66497255,"33508598,58","503,91"
2022-08-09,67094913,"34284272,23","510,98"
2022-06-03,66017788,"35948855,82","544,53"
2022-12-22,89870386,"41411205,26","460,79"
2021-11-09,39891637,"23285656,22","583,72"
2022-06-07,70865824,"37300882,72","526,36"
2022-01-12,37875536,"21325178,9","563,03"
2021-01-18,6271988,"6233589,2","993,88"
2021-04-18,6413482,"1582863,33","246,8"
2021-01-21,6612862,"5486086,84","829,61"
2023-02-07,96251626,"46427745,12","482,36"
2021-03-25,11419576,"9217657,03","807,18"
2022-05-20,62274737,"35549561,72","570,85"
2021-09-18,25395691,"5280537,81","207,93"
2021-11-19,41473269,"24595754,4","593,05"
2023-01-30,71570940,"45949149,94","642,01"
2022-02-25,51599218,"36256069,69","702,65"
2021-02-26,11897931,"11097480,2","932,72"
2021-07-19,23219250,"16843797,31","725,42"
2022-11-26,67178990,"12147108,82","180,82"
2021-08-18,25061512,"15406606,67","614,75"
2021-03-07,5683600,"1606468,54","282,65"
2022-05-10,60736332,"37737823,64","621,34"
2020-11-19,1638797,"1710098,64","1043,51"
2021-09-17,31723593,"19117262,21","602,62"
2020-11-30,3500313,"4265689,59","1218,66"
2023-01-31,83028583,"47485913,11","571,92"
2022-05-26,49619586,"24655373,34","496,89"
2023-02-05,52671820,"7956760,97","151,06"
2023-01-27,78863769,"36771467,73","466,27"
2020-11-06,57936,"21133,81","364,78"
2022-05-06,73267156,"42151143,83","575,31"
2022-07-15,67807069,"40306463,09","594,43"
2022-02-23,41822924,"21556334,02","515,42"
2022-05-25,53159243,"31333944,31","589,44"
2022-12-25,32853500,"4506867,98","137,18"
2021-04-06,15877274,"12200330,26","768,41"
2021-04-04,5706667,"1398379,61","245,04"
2021-12-14,40055123,"23102736,07","576,77"
2021-10-24,17787490,"2774237,5","155,97"
2021-06-13,10690454,"2004213,77","187,48"
2023-01-09,80991600,"45303292,39","559,36"
2022-10-17,66880994,"43277410,03","647,08"
2022-03-15,51091493,"30958218,49","605,94"
2022-07-14,55039752,"28425868,15","516,46"
2022-12-17,75195106,"14225146,49","189,18"
2022-04-18,48535765,"37275827,44","768,01"
2022-06-10,69959536,"40829892,49","583,62"
2021-05-17,18294732,"15943521,64","871,48"
2020-11-04,2629,"336,37","127,94"
2020-11-14,247320,"75222,74","304,15"
2021-01-17,2477355,"691626,36","279,18"
2022-02-13,23691464,"3591643,68","151,6"
2022-04-24,27306881,"3911360,87","143,24"
2021-12-24,37760232,"14182311,24","375,59"
2021-04-26,14572586,"13396639,04","919,3"
2022-04-11,55939866,"39594112,41","707,8"
2020-12-06,1726674,"595987,8","345,17"
2022-08-27,54206723,"9419850,03","173,78"
2020-12-05,2640884,1042062,"394,59"
2021-11-08,42464500,"27452737,29","646,49"
2022-10-13,67252089,"37067471,57","551,17"
2021-05-05,20247886,"15288287,04","755,06"
2022-07-04,59032175,"38086814,65","645,19"
2022-07-30,56358618,"10996114,56","195,11"
2021-02-05,13185267,"11395309,48","864,25"
2022-11-10,81973050,"44876475,34","547,45"
2021-12-23,47305144,"27861677,71","588,98"
2022-06-30,65242367,"41142322,38","630,61"
2021-12-03,47360791,"26626927,02","562,21"
2021-02-02,8050791,"6798450,48","844,45"
2022-09-08,77480746,"40672563,76","524,94"
2022-12-13,77293802,"38976611,91","504,27"
2021-11-21,20136664,"3148873,08","156,38"
2021-06-06,11709225,"2489314,28","212,59"
2021-07-15,27239159,"19209994,37","705,23"
2021-05-10,22643061,"19098963,7","843,48"
2022-02-20,24836677,"3845431,59","154,83"
2022-01-22,33317912,"6468675,91","194,15"
2021-07-13,25692651,"15527073,47","604,34"
2021-09-20,32761418,"24455083,09","746,46"
2021-04-29,14668577,"11737484,02","800,18"
2022-07-02,54672641,"10963686,01","200,53"
2022-08-12,68888675,"34585991,12","502,06"
2022-04-21,36659748,"7707944,58","210,26"
2021-11-20,32886351,"6724689,97","204,48"
2023-02-03,86058974,"44769174,73","520,22"
2023-02-08,89166072,"39572611,28","443,81"
2023-02-06,96624970,"57226678,29","592,26"
2022-09-17,59061107,"10621506,58","179,84"
2023-02-09,83457646,"37771322,11","452,58"
2022-01-10,46294620,"32704565,82","706,44"
2022-01-18,36802612,"20661927,26","561,43"
2021-01-20,7523531,"6908177,56","918,21"
2021-04-10,12004964,"3572581,99","297,59"
2023-02-04,80574247,"15674494,13","194,53"
2022-07-28,54861200,"29231568,47","532,83"
2022-08-18,57712915,"28720821,86","497,65"
2021-11-22,36693723,"24248466,17","660,83"
2022-05-21,49634665,"9280396,08","186,97"
2022-02-14,41293592,"26243590,83","635,54"
2022-07-29,70832961,"43063494,16","607,96"
2021-01-30,5181591,"1685627,51","325,31"
2021-12-25,14906018,"2735837,28","183,54"
2021-08-23,27236546,"18806411,17","690,48"
2021-12-06,49646931,"33260774,15","669,95"
2022-09-30,83434109,"49459526,66","592,8"
2022-03-08,54046554,"28951894,46","535,68"
2021-02-09,10180755,"7641001,12","750,53"
2020-12-12,3137715,"1063724,77","339,01"
2021-03-04,10798392,"9222008,92","854,02"
2021-01-19,6374252,"5641803,84","885,09"
2021-08-11,27981443,"17187878,77","614,26"
2022-01-19,37369102,"20497677,56","548,52"
2021-02-24,8775564,"7043316,22","802,61"
2020-12-13,1827014,"547498,84","299,67"
2022-07-26,53520194,"30823938,17","575,93"
2021-04-30,20834105,"18946885,44","909,42"
2022-10-14,76968234,"40086771,9","520,82"
2021-12-26,18578102,"3090814,56","166,37"
2022-07-10,38764059,"6551573,11","169,01"
2022-06-25,48371249,"8419020,53","174,05"
2021-03-31,14662738,"12545432,2","855,6"
2022-08-02,62316149,"33052543,83","530,4"
2022-09-11,40968458,"6119811,23","149,38"
2021-11-27,30716979,"6138643,11","199,85"
2021-03-27,7836423,"2137868,73","272,81"
2022-06-27,50602618,"33221775,32","656,52"
2022-06-23,54265561,"26024567,06","479,58"
2022-12-15,88284730,"48236777,32","546,38"
2022-02-15,47235102,"29541821,05","625,42"
2021-08-15,14437291,"2746297,53","190,22"
2022-09-06,87700317,"48995437,53","558,67"
2021-05-30,10505461,"2131624,04","202,91"
2023-01-25,72449677,"33909938,23","468,05"
2022-06-22,55592067,"28135104,87","506,1"
2020-11-29,1264607,"437297,85","345,8"
