Data,Quantidade,Total,Media
2021-07-22,24349671,"13786577,59","566,19"
2021-01-15,7415667,"6936586,84","935,4"
2022-07-24,33601812,"4422755,25","131,62"
2023-01-17,70539864,"34695857,46","491,86"
2022-02-07,51906698,"33537624,18","646,11"
2021-08-10,32201756,"22303439,21","692,62"
2021-11-15,21811133,"4788323,82","219,54"
2020-12-30,6255656,6014866,"961,51"
2021-05-23,9687561,"1878443,76","193,9"
2022-12-02,87582534,"39018234,85","445,5"
2022-02-08,47734622,"25163312,69","527,15"
2021-03-20,8468007,"2372174,66","280,13"
2023-01-16,73707354,"45616059,89","618,88"
2021-09-05,16860105,"3263236,6","193,55"
2022-01-07,52395441,"31885441,48","608,55"
2022-01-05,41059065,"24925708,63","607,07"
2022-06-14,53288588,"29128608,98","546,62"
2022-11-29,70248480,"37004077,05","526,76"
2023-02-22,71951680,"44399732,46","617,08"
2021-05-25,19541194,"13098410,02","670,3"
2020-11-27,2639482,"2890943,52","1095,27"
2021-04-08,17921836,"11787167,33","657,7"
2022-03-09,51895561,"27589246,33","531,63"
2022-02-10,49092745,"30023218,32","611,56"
2021-09-16,29115784,"17988658,98","617,83"
2021-09-13,29759311,"20981291,21","705,03"
2021-05-21,21666709,"13242096,91","611,17"
2022-07-13,56346567,"30709490,21","545,01"
2023-01-24,70619716,"33905691,28","480,12"
2022-03-13,25779761,"3889158,74","150,86"
2021-07-04,12791693,"2613001,64","204,27"
2022-11-20,45979233,"6501699,45","141,41"
2021-01-01,1577421,"610710,91","387,16"
2021-11-10,42349180,"28544583,68","674,03"
2022-01-01,14300546,"2784159,48","194,69"
2021-01-04,5935544,"7772210,33","1309,44"
2022-12-16,90732339,"45741555,36","504,14"
2021-02-11,8119021,"6544735,63","806,1"
2023-01-21,71640745,"12263245,48","171,18"
2021-10-18,30228460,"20943277,05","692,83"
2022-08-20,58312682,"11175717,13","191,65"
2022-10-06,88671979,"45118385,38","508,82"
2022-10-02,37177387,"5208965,53","140,11"
2022-06-17,57300205,"31868776,3","556,17"
2023-01-14,69003517,"12167673,77","176,33"
2020-11-23,1972991,"2167485,89","1098,58"
2022-08-01,64550187,"44882060,04","695,3"
2021-02-18,9285846,"7944232,52","855,52"
2020-12-26,2602030,"842506,54","323,79"
2022-12-28,71857451,"35758699,56","497,63"
2021-10-04,29323614,"22043656,31","751,74"
2021-10-31,19605040,"3384043,04","172,61"
2020-12-27,1935748,"569565,5","294,24"
2022-07-03,34495745,"5387914,63","156,19"
2023-01-23,71006338,"39552252,27","557,02"
2022-10-26,64832232,"30831235,72","475,55"
2021-06-18,23998991,"15343961,57","639,36"
2022-02-03,42233532,"22616148,9","535,5"
2022-12-10,77720947,"16113616,01","207,33"
2021-08-21,25092034,"5121602,19","204,11"
2021-03-05,16335450,"13654324,96","835,87"
